A13114002,묵동아이파크,서울특별시 중랑구 동일로157길 70
A13114103,묵동금호어울림,서울특별시 중랑구 공릉로2길 39
A13114106,묵동신안3차,서울특별시 중랑구 공릉로2라길 4
A12127005,상암월드컵파크7단지,서울특별시 마포구 상암산로1길 92
A12127006,상암월드컵파크4단지,서울특별시 마포구 상암산로1길 24
A12127007,상암월드컵1단지,서울특별시 마포구 월드컵북로47길 8
A12127008,상암월드컵8단지,서울특별시 마포구 월드컵로42길 12
A12170402,마포한화오벨리스크,서울특별시 마포구 마포대로 33
A12170601,삼성래미안공덕4차,서울특별시 마포구 마포대로11길 50
A12170602,공덕2삼성임대,서울특별시 마포구 마포대로20길 26
A12170603,공덕래미안5차,서울특별시 마포구 마포대로 167
A12171101,월드컵아이파크1단지,서울특별시 마포구 모래내로9길 6
A12171201,밤섬경남아너스빌,서울특별시 마포구 독막로28길 10
A12172201,신촌포스빌,서울특별시 마포구 신촌로 150
A12172401,마포자이2차,서울특별시 마포구 서강대길 40
A12175202,마포트라팰리스2차,서울특별시 마포구 마포대로 201
A12177801,서강한화오벨리스크스위트,서울특별시 마포구 창전로 45
A12177802,창전삼성임대,서울특별시 마포구 서강로 95
A12179001,브라운스톤공덕,서울특별시 마포구 백범로 230
A12179002,신공덕삼성임대,서울특별시 마포구 백범로37길 6
A12179003,신공덕2삼성래미안제2,서울특별시 마포구 만리재로 74
A12179005,공덕아이파크,서울특별시 마포구 만리재로 36
A12179501,상암휴먼시아2단지아파트,서울특별시 마포구 월드컵북로42가길 11
A12179503,상암월드컵파크11단지,서울특별시 마포구 월드컵북로 502-37
A12179504,상암월드컵파크9단지,서울특별시 마포구 월드컵북로 501
A12179505,상암월드컵파크12단지,서울특별시 마포구 월드컵북로 502-7
A12179508,상암월드컵파크10단지,서울특별시 마포구 월드컵북로 502-36
A12180401,공덕현대,서울특별시 마포구 마포대로11길 73
A12180404,공덕삼성임대,서울특별시 마포구 마포대로 115-8
A12180407,공덕삼성,서울특별시 마포구 마포대로 115-8
A12180506,공덕삼성래미안3차,서울특별시 마포구 마포대로7길 22
A12181102,마포태영제2,서울특별시 마포구 독막로 266
A12181103,마포태영아파트,서울특별시 마포구 독막로 266
A12181403,도화현대2차아파트(임대),서울특별시 마포구 새창로8길 72
A12181406,도화현대1차아파트,서울특별시 마포구 새창로 52
A12182101,망원1차대림,서울특별시 마포구 망원로2길 103
A12182401,망원2차대림,서울특별시 마포구 망원로1길 27
A12182901,상수두산위브,서울특별시 마포구 독막로18길 5
